Lord's Compiler Redux is working on 'src/program.lor'

Output files:
     {'default': 'output\\compiled.txt'}
         33041128 function calls (32973629 primitive calls) in 13.765 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24088    0.003    0.000    0.003    0.000 patterns.py:28(__get_token_str)
      346    0.000    0.000    0.003    0.000 __init__.py:2504(_parse_extras)
        1    0.000    0.000    0.003    0.003 hashing.py:1(<module>)
    39360    0.003    0.000    0.003    0.000 {built-in method math.isinf}
        5    0.000    0.000    0.003    0.001 __init__.py:3137(parse)
       10    0.000    0.000    0.003    0.000 __init__.py:3065(parse_requirements)
        5    0.000    0.000    0.003    0.001 __init__.py:3092(__init__)
      772    0.001    0.000    0.003    0.000 event.py:374(start_event)
        1    0.000    0.000    0.003    0.003 matfuncs.py:5(<module>)
    39360    0.003    0.000    0.003    0.000 {built-in method math.isnan}
      216    0.000    0.000    0.003    0.000 value.py:206(is_declaration)
       26    0.000    0.000    0.003    0.000 sre_parse.py:937(parse)
        5    0.000    0.000    0.003    0.001 requirements.py:95(__init__)
      133    0.000    0.000    0.003    0.000 templates.py:1266(decorator)
        2    0.001    0.001    0.003    0.001 comments.py:7(remove_comments)
      311    0.000    0.000    0.003    0.000 functions.py:266(augment)
        2    0.000    0.000    0.003    0.001 solve_sections.py:92(stick_chunks)
        1    0.000    0.000    0.003    0.003 npyimpl.py:1(<module>)
      133    0.000    0.000    0.003    0.000 templates.py:1244(decorate)
        5    0.000    0.000    0.003    0.001 pyparsing.py:1608(parseString)
      163    0.000    0.000    0.003    0.000 templates.py:1157(make_overload_method_template)
        9    0.001    0.000    0.003    0.000 {built-in method builtins.sorted}
